BallotName
Carmona, Jay
McGuffey, Jack R.
Langer, Anne
Neidert, Dave
Herrington, Eileen F.
Miller, Dawn
ANTINORO, GERALD
Clark, Bruce
Cullen, Mike
Coristine, John
Dehne, Chad
Hagen, Michael
Lorton, Eddie
Mantle, William
Razo, Jesse O.
Schieve, Hillary
Shirazi, Azzi
Evans, H. D. "Chip"
Jauregui-Jackins, Wendy
Clark, Aaron
Clark, Michael E.
Maciel, Lisa
Sarman, Chris
Dreiling, Derek
Hascheff, Pierre
Balaam, Darin
Boxx, Sherman Bard
Cossio, Jerry Guzman
Fox, Allan
Hopkins, Adam Eugene
Howe, Heidi
Meyer, Kim
Coleman, Edward
Contine, Deonne
Peters, Sarah
Stewart, Tom
Grush, Austin Jacob
Jung, Kitty K.
Calvert, Jacqueline
Church, Jeffrey
Gonda, Ryan
Judd, Lindsy
Smith, Greg
Davis, Maria
Duerr, Naomi
Lawrence, Joe
Buchanan, Kelvin J. "Kel"
Delaire, Bret Edward
Lucey, Bob
McKenzie, Paul D.
Weber, Bonnie
Yott, Joseph
Minetto, Ellen
Morlet, David
Vanderwell, Dian
Bonano, Jeff
Smith, Ron
Wacker, Eric
Wilson, Chris
Bybee, Charlene T.
Hunt, Brian
Viola Jr., Rudy
Graham, Terry L.
Callicrate, Tim G.
Price, Benecia
Robinson, Tony
Schmitz, Sara
Simonian, Bruce Edward
Wong, Kendra W.
Tiras, E. Alan
Baldwin, Nichole
Rhoades, Meg M.
Bullis, Ian
McKenzie, Carol O.
Godon, Travis
Bishop, Stephen J.
Costello, David J.
Hibbs, Matt
Sandoval, Tasheena
Backus, Gracyne
Cervantes, Juan Carlos
Gianoli, Julie
Hilton, Burton W.
Rowley, Richard F.
Ulibarri, Devin
Robertson, Nathan
CARVER, CHRIS
CINANI, JERRY
CROWELL, ROBERT "BOB"
MEYER, KURT L.
CROSSMAN, LAUREL
CACIOPPO, JOE
ENGLAND, SAM
FORBUSH, CHRIS
KRAMER, AL
ONEILL, PHILIP "PK"
